"English" "French" "Word.type" "Example" "Translation"
"handsome, fine, right" "beau  " "adjective,masculine noun " "ce sont là de belles paroles, mais des paroles creuses " "those are pretty words, but empty ones "
"full" "plein  " "adverb,noun/adjective,preposition " "l'église est pleine " "the church is full "
"to judge" "juger  " "verb " "ce n'est pas à moi de juger ça " "it's not my place to judge that "
"to avoid" "éviter  " "verb " "on ne peut évidemment pas l'éviter " "we obviously can't avoid that "
"evening" "soir  " "masculine noun " "il est environ neuf heures du soir " "it's about nine o'clock in the evening "
"personnel, personal" "personnel  " "noun/adjective " "vous semblez vous inspirer de votre vie personnelle pour écrire " "you seem to draw inspiration from your own personal life in writing "
"title" "titre  " "masculine noun " "ils nous accuseront à juste titre " "they are rightly accusing us "
"party" "parti  " "noun/adjective " "il n'y a qu'un parti à blâmer " "there's only one party to blame "
"objective; object" "objet  " "masculine noun " "Mathias remit l'objet dans sa poche " "Mathias returned the object into his pocket "
"unique" "unique  " "adjective(no distinct feminine) " "j'ai longtemps cru que tu étais unique " "I have long believed that you were unique "
"to wish" "souhaiter  " "verb " "l'équipage vous souhaite un bon voyage " "the crew wishes you a pleasant voyage "
"in order to, so that" "afin  " " " "fixer des cordes afin de descendre en rappel " "set some ropes so that you can rappel down "
"effort, trouble" "peine  " "feminine noun " "mes jambes ne me soutenaient qu'à peine " "my legs barely kept me standing "
"despite, in spite of" "malgré  " "preposition " "nous serons bons amis malgré tout " "we will be good friends in spite of it all "
"period" "période  " "masculine noun,feminine noun " "j'étais amoureuse pendant une brève période de ma vie " "I was in love for a brief period of my life "
"to hire, involve" "engager  " "verb " "nous sommes engagés dans un travail de réflexion " "we're involved in some reflective thinking "
"to realize, achieve" "réaliser  " "verb " "je réaliserai ton rêve " "I will achieve your dream "
"sometimes" "parfois  " "adverb " "il est parfois sage d'être un peu fou " "sometimes it's wise to be a little bit crazy "
"at the time of" "lors  " "adverb " "je vous ai vu lors de votre dernière visite " "I saw you at the time of our last visit "
"serious" "sérieux  " "noun/adjective (no distinct plural) " "mon thème est sérieux, mais mon texte est rigolo " "my topic is serious, but my text is comical "
"to help, assist" "aider  " "verb " "bonjour, je peux vous aider? " "hello, can I help you? "
"voice" "voix  " "feminine noun (no distinct plural) " "viens, me dit-elle d'une voix brève " "come, she said in a curt voice "
"to finish, end," "terminer  " "verb " "va terminer ton petit déjeuner " "go finish your breakfast "
"base" "base  " "feminine noun " "les matériaux de base sont toujours les mêmes " "the basic materials are always the same "
"to hope" "espérer  " "verb " "j'espère obtenir une réponse claire " "I hope to obtain a clear response "
"hand" "main  " "feminine noun " "nous avons marché main dans la main " "we walked hand-in-hand "
"big" "gros  " "adverb, noun/adjective (no distinct plural) " "ce n'était pas un gros chien " "it wasn't a large dog "
"to stop, arrest" "arrêter  " "verb " "les deux dirigeants ont été arrêtés par la police " "the two leaders were arrested by the police "
"return" "retour  " "masculine noun " "votre retour pose énormément de problèmes " "your return causes huge problems "
"ready" "prêt  " "adjective,masculine noun " "le dîner est prêt! " "supper is ready! "
"chance, opportunity" "occasion  " "feminine noun " "quand l'occasion se présentera, elle reviendra souvent " "when the opportunity arises, she'll return often "
"deputy, parliamentary delegate" "député  " "masculine noun " "j'ai écouté plusieurs interventions des députés " "I heard several deputies' speeches "
"to look, watch" "regarder  " "verb " "je regarde les reportages depuis ce matin " "I've been watching news reports since this morning "
"most, the majority" "plupart  " " " "la plupart des jeux vidéo violents sont japonais " "most violent video games are Japanese "
"second" "deuxième  " "determiner,masculine noun,feminine noun " "tout le monde a besoin d'une deuxième opinion " "everybody needs a second opinion "
"result, follow-up" "résultat  " "masculine noun " "nous avons pu constater les résultats hier " "we were able to notice the results yesterday "
"to listen to" "écouter  " "verb " "je pouvais l'écouter pendant des heures " "I could listen to him for hours "
"earth, world, soil, land" "terre  " "feminine noun " "que la paix soit sur terre, dès maintenant " "may peace reign on the earth henceforth "
"to be worth" "valoir  " "verb " "c'est fini. ça vaut pas la peine " "it's over. it's not worth it "
"dollar" "dollar  " "masculine noun " "tu veux combien? 10 dollars " "you want how much? 10 dollars "
"interior, inside" "intérieur  " "noun/adjective " "je sentais mon cœur battre à l'intérieur " "I felt my heart beating within me "
"page" "page  " "masculine noun,feminine noun " "j'écrivis les premières pages d'un roman " "I was writing the first pages of a novel "
"confidence, trust" "confiance  " "feminine noun " "je ne peux pas lui faire confiance " "I can't trust him "
"choice" "choix  " "masculine noun (no distinct plural) " "elle n'a pas d'autres choix que de rester " "she has no other choice but to stay "
"to foresee, anticipate" "prévoir  " "verb " "son mandat présidentiel est prévu pour s'achever en 2007 " "his presidential mandate is due to expire in 2007 "
"luck; chance" "chance  " "feminine noun " "c'est notre dernière chance " "it's our last chance "
"notably" "notamment  " "adverb " "on ignore notamment si des gendarmes figurent parmi les victimes " "at the moment it's unsure whether policemen are among the victims "
"type; guy" "type  " "masculine noun " "ce type de pêche est en cours d'abandon " "this type of fishing is disappearing "
"goal, aim, objective, purpose" "but  " "masculine noun " "notre premier but est toujours de respecter l'intégrité de la famille " "our primary objective is to always respect the integrity of the family "
"morning" "matin  " "masculine noun " "ce matin, je me suis réveillée tôt " "this morning I woke up early "
"serious, grave" "grave  " "adverb,noun/adjective (no distinct feminine),masculine noun " "ce n'est peut-être pas si grave que ça " "maybe it's not quite that serious "
"grip, hold, seizure, catch" "prise  " "feminine noun " "il y a souvent des prises de becs entre les deux " "there were frequent squabbles between the two of them "
"European" "européen  " "noun/adjective " "vous avez fait une tournée européenne " "you toured around Europe "
"study" "étude  " "feminine noun " "il existe une vie après les études " "there is life after school "
"principle" "principe  " "masculine noun " "tel est le premier principe de l'existentialisme " "that is the main principle of existentialism "
"to replace" "remplacer  " "verb " "tu dois être prêt à nous remplacer, le cas échéant " "you must be ready to replace us, if need be "
"to advance, move forward" "avancer  " "verb " "c'est moi qui ai avancé les fonds " "I'm the one who advanced the funds "
"six" "six  " "determiner,masculine noun invariable " "elle était enceinte de six mois " "she was six months pregnant "
"necessary, required" "nécessaire  " "noun/adjective (no distinct feminine) " "je ne pense pas qu'il soit nécessaire de la distribuer " "I don't think it will be necessary to distribute it "
"activity" "activité  " "feminine noun " "certains sont impliqués dans des activités terroristes " "some of them are implicated in terrorist activities "
"value, worth" "valeur  " "feminine noun " "on a payé dix fois sa valeur " "we paid ten times what it was worth "
"to mark" "marquer  " "verb " "cet épisode tragique marque la fin d'une aventure " "this tragic episode marks the end of an adventure "
"whole, full" "entier  " "noun/adjective " "le monde entier est contre nous " "the whole world is against us "
"answer, response" "réponse  " "feminine noun " "il donne une réponse claire à cette question " "he gives a clear answer to that question "
"help, assistance" "aide  " "masculine noun,feminine noun " "j'ai besoin d'un peu d'aide " "I need a little help "
"principal" "principal  " "noun/adjective " "trouver le rôle principal s'est révélé assez problématique " "finding the lead role turned out to be a problem "
"to grow, lift, raise" "élever  " "verb " "des murmures s'élevèrent autour de lui " "murmuring arose all around him "
"yet, nonetheless, nevertheless" "pourtant  " "adverb " "pourtant cette perspective aussi m'effrayait " "yet this outlook also frightened me "
"commission" "commission  " "feminine noun " "on a mis cette commission enlacé pour revoir cette question importante " "we have set up this commission to review this important question "
"to cease, stop" "cesser  " "verb " "on ne doit pas cesser de poser des questions " "we should never stop asking questions "
"to pursue" "poursuivre  " "verb " "je poursuis cette criminelle " "I'm pursuing this criminal "
"to maintain" "maintenir  " "verb " "ce principe sera maintenu " "this principle will be maintained "
"era, period" "époque  " "feminine noun " "ils ont vécu à la même époque " "they lived in the same time period "
"to express" "exprimer  " "verb " "encore une fois, j'exprime ma frustration " "once again, I express my frustration "
"friend" "ami  " "noun/adjective " "je te présente mon ami " "this is my friend "
"low; stockings" "bas  " "adverb,noun/adjective (no distinct plural),masculine noun (no distinct plural) " "elle ajouta presque à voix basse, comme quelqu'un qui parle dans l'obscurité " "she spoke in a low voice, like someone speaking from obscurity "
"to impose" "imposer  " "verb " "on leur impose des changements très rapides " "rapid change is being imposed upon them "
"half" "moitié  " "feminine noun " "pendant la moitié de la nuit, je pleurai " "during half the night, I cried "
"future" "avenir  " "masculine noun " "je me sens très optimiste pour l'avenir " "I feel very optimistic about the future "
"money; silver" "argent  " "masculine noun " "bon, c'est son argent que je veux " "well, it's his money that I want "
"putting, placing" "mise  " "feminine noun " "il annonce en effet la mise en place d' une police fédérale européenne " "he is indeed announcing putting in place a European federal police "
"eye" "œil  " "masculine noun " "ferme les yeux, et respire " "close your eyes and breathe "
"water" "eau  " "feminine noun " "faites chauffer une casserole d'eau " "heat up a pan of water "
"except; safe" "sauf  " "adjective,preposition " "tout le monde rit sauf elle " "everyone's laughing except her "
"school" "école  " "feminine noun " "je n'aimais pas aller à l'école " "I didn't like to go to school "
"security, safety" "sécurité  " "feminine noun " "ils se sentaient plus en sécurité dans la rue qu'à la maison " "he felt safer in the streets than at home "
"middle" "milieu  " "masculine noun " "elle hésita au milieu de la route " "she paused in the middle of the road "
"letter" "lettre  " "feminine noun " "il écrivit une lettre de neuf pages " "he wrote a nine-page letter "
"almost" "presque  " "adverb " "il y a presque 10 millions de lignes téléphoniques " "there are almost 10 million telephone lines "
"attention" "attention  " "feminine noun " "il se lève pour attirer notre attention " "he stood up to attract our attention "
"frame, executive" "cadre  " "masculine noun " "cette enquête s'inscrit dans le cadre d'une autre " "this inquiry takes place in the framework of another "
"future" "futur  " "noun/adjective " "un futur sans guerre, c'est cool, hein? " "a future without wars--cool, eh? "
"movement" "mouvement  " "masculine noun " "il me serra la main d'un mouvement presque inconscient " "he shook my hand with an almost unconscious movement "
"to form" "former  " "verb " "ils ne parviennent pas à former un groupe " "they didn't manage to form a group "
"to lead, drive" "conduire  " "verb " "conduisons-la à l'hôpital " "let's drive her to the hospital "
"rule" "règle  " "feminine noun " "ce jeu fonctionne avec une règle très simple " "this game follows one very simple rule "
"post, position; post office" "poste  " "masculine noun,feminine noun " "le chef de poste haussa les épaules " "the station chief shrugged his shoulders "
"request, demand" "demande  " "feminine noun " "la demande des consommateurs a créé un marché " "consumer demand has created a market "
"centre" "centre  " "masculine noun " "l'amour et ses conséquences sont au centre de ce roman " "love and its consequences are the focus of this novel "
"act" "acte  " "masculine noun " "c'était un acte de guerre " "it was an act of war "
"to disappear, vanish" "disparaître  " "verb " "l'avion a subitement disparu des écrans " "the airplane suddenly disappeared from the screens "
"to deprive" "priver  " "verb " "je ne me serais pas privée de sommeil à cause de vous " "I wouldn't lose any sleep over you "
"to constitute" "constituer  " "verb " "le djihad et le sacrifice constituent donc un devoir " "jihad and sacrifice are thus a duty "
"agreement" "accord  " "masculine noun " "le gouvernement fédéral a signé un accord " "the federal government signed an agreement "
"billion, thousand million" "milliard  " "masculine noun " "le déficit budgétaire a atteint 226,3 milliards de francs " "the budget deficit reached 226.3 billion francs "
"to link, join" "lier  " "verb " "c'est le premier décès lié à l'épidémie " "it's the first death linked to the epidemic "
"to require, force, oblige" "obliger  " "verb " "tu ne peux pas m'obliger à rester! " "you can't force me to stay! "
"to fear, be afraid of" "craindre  " "verb " "il ne craignait rien " "he was afraid of nothing "
"past" "passé  " "noun/adjective,preposition " "j'étais prisonnier de mon passé " "I was a prisoner of my past "
"age" "âge  " "masculine noun " "il a simplement demandé mon âge " "he simply asked my age "
"to declare" "déclarer  " "verb " "il déclare que cette méthode était utile à l'époque " "he declared that this method was useful at that time "
"to forget" "oublier  " "verb " "je ne t'oublierai jamais " "I will never forget you "
"remark" "propos  " "masculine noun (no distinct plural) " "ces propos ne sont pas les miens " "these are not my own words "
"third" "troisième  " "determiner,masculine noun,feminine noun " "la troisième et dernière tentative fut la bonne " "the third and final attempt succeeded "
"to leave" "quitter  " "verb " "vous êtes priés de quitter l'hôpital sans précipitation " "please leave the hospital immediately "
"bit, tip, end" "bout  " "masculine noun " "ils marchèrent en silence jusqu'au bout de la rue " "they walked in silence to the end of the street "
"population" "population  " "feminine noun " "une partie de la population s'enfonce dans la précarité " "part of the population is sliding into precariousness "
"you, yourself" "toi  " "masculine noun,pronoun " "on est là, toi et moi, deux types ordinaires " "here we are, you and me, two ordinary guys "
"responsible" "responsable  " "noun/adjective (no distinct feminine) " "je ne suis pas le seul responsable " "I'm not the only one responsible "
"road" "route  " "feminine noun " "le reste de la route était en construction " "the rest of the road was under construction "
"early" "tôt  " "adjective invariable,adverb " "plus tôt on partira, mieux ce sera " "the sooner we leave, the better it will be "
"to throw, launch" "lancer  " "masculine noun,verb " "je lance des mots au hasard " "I toss out words at random "
"limit" "limite  " "feminine noun " "elle atteint les limites de ses possibilités " "she's reaching the limit of her possibilities "
"function" "fonction  " "feminine noun " "vous êtes relevé de vos fonctions " "you are relieved of your functions "
"employment, work, use" "emploi  " "masculine noun " "leur emploi exige qu'ils fournissent leurs propres outils " "their work requires use of their own tools "
"objective, aim, goal; lens" "objectif  " "adjective,masculine noun " "je ne me suis jamais fixé d'objectifs précis " "I never set definite goals for myself "
"to appear" "paraître  " "verb " "il paraît qu'il est à la bibliothèque maintenant " "it appears that he's at the library now "
"newspaper, paper" "journal  " "masculine noun " "je vais acheter le journal pour ma mère " "I'm going to buy the newspaper for my mother "
"to announce" "annoncer  " "verb " "l'année 1993 s'annonce donc difficile " "1993 is hence showing to be a difficult year "
"himself" "lui-même  " "pronoun " "il ne s'est pas sauvé lui-même " "he didn't save himself "
"tower; turn; tour" "tour  " "masculine noun,feminine noun " "je passais ma vie à faire le tour du monde " "I spent my life touring the world "
"right, there, here" "voilà  " "preposition " "tiens, c'est pour toi. voilà " "here, this is for you. take it "
"will" "volonté  " "feminine noun " "par ta seule volonté, tu peux le faire " "with your willpower alone, you can do it "
"to send" "envoyer  " "verb " "les deux femmes envoyèrent la lettre " "the two women sent the letter "
"to share" "partager  " "verb " "je ne peux pas te partager " "I can't share you "
"since" "puisque  " "conjunction " "je ne lui répondais pas puisque j'étais muet " "I didn't answer him since I was a mute "
"to establish" "établir  " "verb " "avant d'attaquer, établissons les règles " "before we attack, let's establish the ground rules "
"change" "changement  " "masculine noun " "nous savons qu'il faut effectuer des changements " "we know that changes must be made "
"to keep" "garder  " "verb " "je la gardais dans mes bras " "I held her in my arms "
"reality" "réalité  " "feminine noun " "c'est un rêve devenu réalité pour plusieurs " "for several it's a dream come true "
"to forbid, prohibit, ban" "interdire  " "verb " "je m'interdis d'écrire et de prononcer votre nom " "I forbid myself to write or speak your name "
"to finish" "finir  " "verb " "je dois finir de nettoyer les droïdes " "I have to finish cleaning the droids "
"to place" "placer  " "masculine noun,verb " "la famille a été placée en détention " "the family was placed in detention "
"to feel, smell" "sentir  " "verb " "tu ne sens pas son parfum? " "you don't smell her perfume? "
"to pay" "payer  " "verb " "c'est moi qui paie votre salaire " "I'm the one who pays your salary "
"main, field" "esprit  " "masculine noun " "t'as l'esprit vif, toi " "you've got a quick mind "
"domain, field" "domaine  " "masculine noun " "là, nous sommes dans le domaine de l'expérience mystique " "there we enter the realm of mystical experiences "
"to lead, direct" "diriger  " "verb " "nous ne sommes dirigés que par nos désirs " "we are only led by our desires "
"to note, notice" "noter  " "verb " "tu as tout noté? " "did you note everything? "
"nature" "nature  " "feminine noun " "vous venez de découvrir votre vraie nature " "you have just discovered your true nature "
"regime" "régime  " "masculine noun " "Pravda, la voix de l'ancien régime communiste, ferme ses portes " "Pravda, the voice of the former communist regime, is shutting down "
"to load, charge" "charger  " "verb " "le juge chargé du dossier refuse de convoquer le maire " "the judge assigned to the case refuses to summon the mayor "
"short" "court  " "adjective,adverb,masculine noun " "j'inscris mes objectifs long terme, court terme " "I wrote my short-term and long-term goals "
"parent" "parent  " "noun/adjective " "il faudrait que je te présente mes parents " "I will have to introduce you to my parents "
"to fall" "tomber  " "verb " "il s'arrêta, tomba à genoux pour remercier Dieu " "he stopped, fell to his knees to thank God "
"departure" "départ  " "masculine noun " "on avait les heures de départ et les heures d'arrivée " "we had the departure and arrival times "
"world, global" "mondial  " "adjective " "nous vivons dans une économie mondiale qui évolue très rapidement " "we live in a rapidly evolving global economy "
"to carry along, train" "entraîner  " "verb " "tu es trop jeune pour t'entraîner " "you're too young to receive training "
"to arrange, set" "disposer  " "verb " "la France dispose d'unités navales basées à Djibouti " "France has naval units based in Djibouti "
"word" "parole  " "feminine noun " "je regrette mes paroles, moi aussi " "I regret my words too "
"bottom" "fond  " "masculine noun " "le fond des cœurs ne change pas " "the deepest part of the heart doesn't change "
"public" "publique  " "adjective,feminine noun " "la morale publique ne peut être sacrifiée au progrès " "public morals can't be sacrificed for progress "
"false; scythe" "faux  " "adverb,adjective (no distinct plural),masculine noun (no distinct plural),feminine noun (no distinct plural) " "ce ne sont pas là de fausses accusations " "these aren't false accusations "
"type, kind, sort" "genre  " "masculine noun " "je dénonce ce genre de choses " "I denounce this type of thing "
"to retain, hold back, remember" "retenir  " "verb " "depuis ma blessure, je ne retiens rien " "since my injury I can't remember anything "
"community" "communauté  " "feminine noun " "la communauté internationale l'a en grande partie rejeté " "the international community largely rejected it "
"to interest, involve" "intéresser  " "verb " "leur avis ne m'intéresse pas " "their advice doesn't interest me "
"in other words" "c'est-à-dire  " "adverb " "il s'agit de vivre, c'est-à-dire d'avancer " "it's about living, or in other words about progressing "
"body" "corps  " "masculine noun (no distinct plural) " "tout mon corps en était secoué " "my whole body was shaken "
"matter, subject, material" "matière  " "feminine noun " "la matière est parfaite pour les peaux sensibles " "the material is perfect for sensitive skin "
"breast, bosom" "sein  " "masculine noun " "le cancer du sein est rare chez l'homme " "breast cancer is rare in men "
"difficulty" "difficulté  " "feminine noun " "j'avais quelque difficulté à lui parler " "it was somewhat difficult for me to talk to him "
"to reach, achieve" "parvenir  " "verb " "je suis content d'être parvenu au bout " "I am happy to have reached the end "
"sector" "secteur  " "masculine noun " "la police a décrété le secteur «zone interdite» " "the police declared the area off-limits "
"call" "appel  " "masculine noun " "il a reçu des appels téléphoniques menaçants " "he received menacing telephone calls "
"heart" "cœur  " "masculine noun " "j'aimerais vous féliciter du fond du cœur " "I would like to congratulate you from the depths of my heart "
"father" "père  " "masculine noun " "je suis père célibataire " "I'm an unwed father "
"organisation" "organisation  " "feminine noun " "plus grande devient l'organisation, plus il y a de règles " "the bigger the organization grows, the more rules there are "
"unity; unit" "unité  " "feminine noun " "vous partez inspecter nos unités de désinfection " "you are leaving to inspect our disinfection units "
"black" "noir  " "noun/adjective " "seule la police roule en noir et blanc? " "only the police drive black-and-white vehicles? "
"event" "événement  " "masculine noun " "je me souviens de ces événements avec précision " "I remember those events in great detail "
"double" "double  " "noun/adjective (no distinct feminine) " "on parle beaucoup de la double peine pour les délinquants étrangers " "there's much talk about doubling sentences for foreign delinquents "
"to convince" "convaincre  " "verb " "c'est bon, tu m'as convaincue " "OK, you convinced me "
"nation" "nation  " "feminine noun " "elle bouscule sérieusement les droits des nations " "it is seriously undermining the rights of nations "
"advice, counsel, council" "conseil  " "masculine noun " "les militaires ont formé un Conseil de salut national " "the military formed a National Salvation Council "
"to sustain, support" "soutenir  " "verb " "nous avons été nombreux à soutenir son innocence " "many of us supported his innocence "
"peace" "paix  " "feminine noun (no distinct plural) " "laissez ma famille en paix " "leave my family in peace "
"night" "nuit  " "feminine noun " "je n'ai pas dormi cette nuit " "I didn't sleep last night "
"everywhere" "partout  " "adverb " "je t'ai cherché partout " "I looked everywhere for you "
"direction, management" "direction  " "feminine noun " "je n'osais aller dans cette direction " "I didn't dare go in this direction "
"to miss" "manquer  " "verb " "la Chine manque d'argent, et manque de savants " "China lacks money and scholars "
"current, present" "actuel  " "adjective " "les gens ont peur du gouvernement actuel " "people fear the current government "
"to oppose" "opposer  " "verb " "comment peut-il maintenant s'y opposer? " "how could he oppose it now? "
"to mean" "signifier  " "verb " "cela ne signifiait rien pour moi " "that didn't mean anything to me "
"day" "journée  " "feminine noun " "j'ai attendu toute la journée pour te voir " "I waited all day to see you "
"moreover, besides, for that matter" "d'ailleurs  " "adverb " "je n'entends d'ailleurs pas le tenir secret " "besides, I don't intend to keep it a secret "
"to treat, handle, deal with" "traiter  " "verb " "deux chapitres, enfin, traitent de la question " "two chapters, at last, address the issue "
"to indicate, signal" "indiquer  " "verb " "le contrôleur indique qu'il est prêt " "the controller signals readiness "
"to kill" "tuer  " "verb " "les fusils, ça tue " "rifles kill "
"technique, technics, technical" "technique  " "noun/adjective (no distinct feminine) " "parlons un peu de votre technique " "let's talk a little about your technique "
"quickly, rapidly" "rapidement  " "adverb " "ils ont passé rapidement dans l'histoire " "they disappeared quickly into history "
"around" "autour  " "adverb,masculine noun " "je t'emmènerai autour du monde " "I'll take you around the world "
"to reduce" "réduire  " "verb " "tu réduis les aliments graisseux et le chocolat " "you reduce your intake of fatty foods and chocolate "
"according to" "d'après  " " " "qui a bâti les pyramides d'après vous? " "according to you, who built the pyramids? "
"to prefer" "préférer  " "verb " "préférez-vous que j'appelle la police? " "would you prefer that I call the police? "
"street" "rue  " "feminine noun " "je me promenais dans les rues, seule " "I strolled alone down the streets "
"rich" "riche  " "noun/adjective (no distinct feminine) " "elle est jolie, riche, mince ... et amoureuse de mon mari " "she is cute, rich, thin ... and in love with my husband "
"brief" "bref  " "adjective,adverb,masculine noun " "le rapport était bref et précis " "the report was brief and precise "
"to call, name, appoint" "nommer  " "verb " "ses membres sont nommés par le premier ministre " "its members are appointed by the prime minister "
"violence" "violence  " "feminine noun " "la violence a fait six nouveaux morts " "the violence killed six people "
"century" "siècle  " "masculine noun " "le XXe siècle a fait plus de martyrs chrétiens " "the 20th century created more Christian martyrs "
"article" "article  " "masculine noun " "vous m'avez convaincue de finir l'article " "you convinced me to finish the article "
"to last" "durer  " "verb " "voilà quinze jours que ça dure " "this has lasted two weeks "
"quality" "qualité  " "feminine noun " "Renaud est quelqu'un d'une grande qualité humaine " "Renaud is someone with great human qualities "
"left" "gauche  " "noun/adjective (no distinct feminine) " "elle écrit de gauche à droite " "she writes from left to right "
"solution" "solution  " "feminine noun " "il n'existe pas de solution miracle " "there's no miracle solution "
"road, lane, route, track, way" "voie  " "feminine noun " "il a toujours suivi sa voie, ton père " "your father has always followed his own way "
"able, capable" "capable  " "adjective (no distinct feminine) " "je ne suis pas capable de répondre à votre question " "I'm not capable of responding to your question "
"Canadian" "canadien  " "noun/adjective " "75 p. 100 des Canadiens et des Canadiennes sont en bonne santé mentale " "75% of male and female Canadians are in good mental health "
"mistake, error" "erreur  " "feminine noun " "certaines erreurs ont été commises " "certain mistakes were made "
"to deliver" "livrer  " "verb " "je pensais te faire livrer un plat chaud " "I thought I would have a hot plate delivered to you "
"nearby, close to" "auprès  " "adverb " "il avait beaucoup de succès auprès des femmes " "he had much success with women "
"simply" "simplement  " "adverb " "c'est tout simplement inacceptable " "it's just simply unacceptable "
"memory; to remember" "souvenir  " "masculine noun,verb " "je ne veux me souvenir de rien " "I don't remember anything "
"consequence" "conséquence  " "feminine noun " "il y a donc des conséquences extrêmement sérieuses " "hence there are extremely serious consequences "
"wide, width" "large  " "adjective (no distinct feminine),adverb,masculine noun " "tes yeux sont devenus plus larges " "your eyes got wider "
"opposite, contrary" "contraire  " "noun/adjective (no distinct feminine) " "mais le contraire est vrai aussi " "but the opposite is also true "
"success" "succès  " "masculine noun (no distinct plural) " "le succès prouve que mes livres avaient du mérite " "the success proves that my books were worthwhile "
"element" "élément  " "masculine noun " "trois éléments d'information présentent un intérêt particulier " "three items of information are particularly interesting "
"local" "local  " "noun/adjective " "nous respectons l'autonomie de chaque groupe local " "we respect the autonomy of each local group "
"summer" "été  " "masculine noun " "l'été constitue le pic de la consommation d'essence " "summer is the peak season for gas consumption "
"to invite" "inviter  " "verb " "un soir, ils m'invitent à dîner " "one night, they invite me to supper "
"exterior" "extérieur  " "noun/adjective " "la porte extérieure s'ouvre " "the outer door opens "
"foot" "pied  " "masculine noun " "tu n'iras pas assez vite à pied " "you won't get there as fast on foot "
"mission" "mission  " "feminine noun " "si quelqu'un apprend notre mission, on échoue " "if anyone learns about our mission, we'll fail "
"debate" "débat  " "masculine noun " "il voulait simplement contribuer au débat " "he simply wanted to contribute to the debate "
"girl, daughter" "fille  " "feminine noun " "c'est une jeune fille de seize ans " "she's a young girl of sixteen years "
"to repeat" "répéter  " "verb " "ce rêve se répète sans cesse " "this dream keeps repeating "
"text" "texte  " "masculine noun " "je donne un texte et l'artiste intervient comme il veut " "I give a text and the artist adapts it as necessary "
"to take advantage, profit" "profiter  " "verb " "je profitais de ces derniers jours de vraies vacances " "I took advantage of these last days of real vacation "
"bedroom, chamber" "chambre  " "feminine noun " "avant d'entrer dans la chambre de mon fils j'entrai dans la mienne " "before going into my son's bedroom I went into my own "
"creation" "création  " "feminine noun " "nous nous battons depuis la création de notre parti " "we have been fighting since the creation of our party "
"to prove" "prouver  " "verb " "je n'ai rien besoin de prouver à qui que ce soit " "I have no need to prove anything to anybody at all "
"to buy" "acheter  " "verb " "achetez vos billets à un revendeur agréé " "buy your tickets from an approved reseller "
"justice" "justice  " "feminine noun " "vous rendrez la justice de manière impartiale " "you will render justice in an impartial way "
"production" "production  " "feminine noun " "ce serait une maison de production plutôt qu'une société " "it would be a factory rather than a company "
"to ignore" "ignorer  " "verb " "j'ignorais pourquoi il jurait comme ça " "I didn't know why he was swearing like that "
"director" "directeur  " "noun/adjective " "j'ai reçu un mot du directeur " "I received a note from the director "
"health" "santé  " "feminine noun " "il est en bonne santé " "he's in good health "
"to suffer" "souffrir  " "verb " "elle n'a pas souffert, elle s'est endormie " "she didn't suffer, she fell asleep "
"precise" "précis  " "noun/adjective (no distinct plural) " "c'est à cet instant précis que je suis devenu adulte " "at that precise moment I became an adult "
"to fix, arrange, set" "fixer  " "verb " "nous avons fixé une date limite " "we set a deadline "
"mother" "mère  " "adjective,feminine noun " "peut-être que tous les enfants déçoivent leur mère " "perhaps all children disappoint their mother "
"growth" "croissance  " "feminine noun " "les taux de croissance ont été importants " "the growth rates were substantial "
"risk" "risque  " "masculine noun " "vous prenez de sacrés risques " "you're taking huge risks "
"weapon" "arme  " "feminine noun " "je suis un trafiquant d'armes " "I'm an arms dealer "
"to estimate; to consider, deem" "estimer  " "verb " "j'estime que cela est inadmissible " "I consider this to be inexcusable "
"place, spot" "endroit  " "masculine noun " "on aime vraiment cet endroit " "we really like this place "
"committee" "comité  " "masculine noun " "les délibérations des comités peuvent être enregistrées " "committee deliberations may be recorded "
"impossible" "impossible  " "noun/adjective (no distinct feminine) " "je peux te rendre la vie impossible " "I can make life impossible for you "
"proof" "preuve  " "feminine noun " "vous nous donnez les preuves, et nous vous protégeons à vie " "you give us the proof, and we'll protect you for the rest of your life "
"real, true" "véritable  " "adjective (no distinct feminine) " "les véritables coupables restaient en liberté " "the true guilty parties remained free "
"to bring" "amener  " "verb " "on pourrait les amener à changer leurs habitudes " "we could bring them to change their habits "
"to aim" "viser  " "verb " "quel but visez-vous en thérapie bioénergétique? " "what's your goal with biofeedback therapy? "
"to remove, withdraw" "retirer  " "verb " "j'aimerais qu'il retire ce qu'il a dit " "I want him to take back what he said "
"total" "total  " "noun/adjective " "Ming, c'est l'anarchiste total " "Ming is the absolute anarchist "
"picture, image" "image  " "feminine noun " "certains films contiennent des images fameuses " "some films contain famous images "
"date" "date  " "feminine noun " "c'est la vraie date de ton anniversaire " "that's the real date of your birthday "
"breadth, across; fault, amiss" "travers  " "masculine noun (no distinct plural) " "le héros se promenait à travers le monde " "the hero walked across the world "
"control" "contrôle  " "masculine noun " "la situation est complètement sous contrôle " "the situation is completely under control "
"enormous" "énorme  " "adjective (no distinct feminine) " "je pense que c'est un énorme effort " "I think it's an enormous effort "
"to keep, preserve" "conserver  " "verb " "cette petite note, je la conserve comme un trésor " "this little note I keep like a treasure "
"real" "réel  " "noun/adjective " "nous avons toutefois un problème réel " "we still have a real problem "
